LSOA_CODE,PRACTICE_CODE,PRACTICE_NAME.x,NUMBER_OF_PATIENTS,PCN_CODE,PCN_NAME,SUB_ICB_LOCATION_NAME,ICB_CODE,,,,,
CLOSED,C81018,DOVE RIVER,3,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01008064,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,Row Labels,Sum of NUMBER_OF_PATIENTS,
E01010319,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,NHS Staffordshire and Stoke-on-Trent ICB - 04Y," 140,734 ",
E01013471,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,NHS Staffordshire and Stoke-on-Trent ICB - 05D," 155,279 ",
E01013491,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,NHS Staffordshire and Stoke-on-Trent ICB - 05G," 231,374 ",
E01013530,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,NHS Staffordshire and Stoke-on-Trent ICB - 05Q," 224,109 ",
E01013539,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,NHS Staffordshire and Stoke-on-Trent ICB - 05V," 157,207 ",
E01013540,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,NHS Staffordshire and Stoke-on-Trent ICB - 05W," 301,580 ",
E01013575,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,Grand Total," 1,210,283 ",
E01017569,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01018066,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01018679,C81018,DOVE RIVER,2,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01018692,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01019447,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01019597,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01019603,C81018,DOVE RIVER,9,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01019605,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,,,
E01019609,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,Sum of NUMBER_OF_PATIENTS,,
E01019612,C81018,DOVE RIVER,1034,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,LSOA_CODE,PRACTICE_CODE,Total
E01019629,C81018,DOVE RIVER,314,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000012,M83637,1
E01019839,C81018,DOVE RIVER,2,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000022,M83075,1
E01019840,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000063,M83619,1
E01019841,C81018,DOVE RIVER,3,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000107,M83627,1
E01019845,C81018,DOVE RIVER,627,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000145,M83028,1
E01019846,C81018,DOVE RIVER,558,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000169,M83062,1
E01019847,C81018,DOVE RIVER,131,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000188,M83625,1
E01019848,C81018,DOVE RIVER,131,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000197,M83625,1
E01019850,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000220,M83117,1
E01019866,C81018,DOVE RIVER,981,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000313,M83075,1
E01019880,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000418,M83090,1
E01029411,C81018,DOVE RIVER,2,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000473,M83670,1
E01029417,C81018,DOVE RIVER,13,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000487,M83021,1
E01029423,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000489,M83670,1
E01029424,C81018,DOVE RIVER,721,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000502,M83117,1
E01029425,C81018,DOVE RIVER,706,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000517,Y02521,1
E01029428,C81018,DOVE RIVER,20,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000548,M83071,1
E01029429,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000553,M83625,1
E01029430,C81018,DOVE RIVER,3,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000606,M83004,1
E01029434,C81018,DOVE RIVER,1,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000616,M83026,1
E01029437,C81018,DOVE RIVER,12,U57641,EAST STAFFORDSHIRE PCN,NHS Staffordshire and Stoke-on-Trent ICB - 05D,QNC,,,E01000617,M83601,1
