LSOA_CODE,PCN_NAME,PCN_Patients,PCN_Total,Proportion_PCN,LSOA_Population,Proportion_LSOA,CumulativePatients,CumulativePercent,SUB_ICB_LOCATION_NAME
E01014360,About Better Care (ABC) PCN,1506,49995,0.030123012301230122,2949,0.5106815869786369,1506,3.012301230123012,Stoke-on-Trent
E01034053,About Better Care (ABC) PCN,1319,49995,0.026382638263826384,2288,0.576486013986014,2825,5.65056505650565,Stoke-on-Trent
E01014357,About Better Care (ABC) PCN,1301,49995,0.026022602260226024,1765,0.7371104815864022,4126,8.252825282528253,Stoke-on-Trent
E01014255,About Better Care (ABC) PCN,1257,49995,0.025142514251425142,2349,0.5351213282247765,5383,10.767076707670768,Stoke-on-Trent
E01014290,About Better Care (ABC) PCN,1250,49995,0.025002500250025,1709,0.7314218841427735,6633,13.267326732673268,Stoke-on-Trent
E01014358,About Better Care (ABC) PCN,1224,49995,0.024482448244824484,1694,0.7225501770956316,7857,15.715571557155716,Stoke-on-Trent
E01014250,About Better Care (ABC) PCN,1178,49995,0.023562356235623562,1633,0.7213717085119412,9035,18.07180718071807,Stoke-on-Trent
E01014289,About Better Care (ABC) PCN,1167,49995,0.023342334233423342,1645,0.7094224924012158,10202,20.406040604060404,Stoke-on-Trent
E01014254,About Better Care (ABC) PCN,1158,49995,0.023162316231623164,2919,0.39671120246659813,11360,22.722272227222724,Stoke-on-Trent
E01014249,About Better Care (ABC) PCN,1030,49995,0.020602060206020602,2815,0.36589698046181174,12390,24.782478247824784,Stoke-on-Trent
E01014291,About Better Care (ABC) PCN,997,49995,0.019941994199419943,2189,0.455459113750571,13387,26.776677667766773,Stoke-on-Trent
E01014354,About Better Care (ABC) PCN,950,49995,0.019001900190019003,2242,0.423728813559322,14337,28.676867686768677,Stoke-on-Trent
E01014288,About Better Care (ABC) PCN,930,49995,0.0186018601860186,1610,0.577639751552795,15267,30.537053705370536,Stoke-on-Trent
E01014252,About Better Care (ABC) PCN,858,49995,0.017161716171617162,1812,0.4735099337748344,16125,32.25322532253225,Stoke-on-Trent
E01014361,About Better Care (ABC) PCN,808,49995,0.01616161616161616,2458,0.3287225386493084,16933,33.86938693869387,Stoke-on-Trent
E01029560,About Better Care (ABC) PCN,808,49995,0.01616161616161616,1681,0.4806662700773349,17741,35.485548554855484,Stoke-on-Trent
E01029558,About Better Care (ABC) PCN,790,49995,0.0158015801580158,1872,0.422008547008547,18531,37.06570657065706,Stoke-on-Trent
E01014355,About Better Care (ABC) PCN,769,49995,0.01538153815381538,2678,0.2871545929798357,19300,38.603860386038605,Stoke-on-Trent
E01029554,About Better Care (ABC) PCN,743,49995,0.014861486148614862,2428,0.3060131795716639,20043,40.09000900090009,Stoke-on-Trent
E01029559,About Better Care (ABC) PCN,725,49995,0.014501450145014501,1576,0.4600253807106599,20768,41.54015401540154,Stoke-on-Trent
E01014256,About Better Care (ABC) PCN,656,49995,0.013121312131213122,2627,0.24971450323563,21424,42.85228522852285,Stoke-on-Trent
E01014359,About Better Care (ABC) PCN,624,49995,0.012481248124812482,2196,0.28415300546448086,22048,44.1004100410041,Stoke-on-Trent
E01014356,About Better Care (ABC) PCN,609,49995,0.01218121812181218,2262,0.2692307692307692,22657,45.31853185318532,Stoke-on-Trent
E01029547,About Better Care (ABC) PCN,598,49995,0.011961196119611961,1757,0.34035287421741606,23255,46.514651465146514,Stoke-on-Trent
E01034052,About Better Care (ABC) PCN,596,49995,0.01192119211921192,1361,0.43791329904481996,23851,47.70677067706771,Stoke-on-Trent
E01014294,About Better Care (ABC) PCN,588,49995,0.01176117611761176,1372,0.42857142857142855,24439,48.88288828882889,Stoke-on-Trent
E01029568,About Better Care (ABC) PCN,579,49995,0.011581158115811582,1431,0.40461215932914046,25018,50.041004100410035,Stoke-on-Trent
E01014292,About Better Care (ABC) PCN,576,49995,0.01152115211521152,1650,0.3490909090909091,25594,51.19311931193119,Stoke-on-Trent
E01029566,About Better Care (ABC) PCN,553,49995,0.011061106110611061,1418,0.3899858956276446,26147,52.299229922992296,Stoke-on-Trent
E01014247,About Better Care (ABC) PCN,532,49995,0.010641064106410641,1947,0.27324088341037495,26679,53.36333633363336,Stoke-on-Trent
E01029541,About Better Care (ABC) PCN,527,49995,0.01054105410541054,1929,0.27319854847071023,27206,54.417441744174425,Stoke-on-Trent
E01029542,About Better Care (ABC) PCN,509,49995,0.010181018101810182,1730,0.29421965317919074,27715,55.43554355435544,Stoke-on-Trent
E01014242,About Better Care (ABC) PCN,508,49995,0.010161016101610161,1617,0.3141620284477427,28223,56.45164516451645,Stoke-on-Trent
E01014244,About Better Care (ABC) PCN,497,49995,0.00994099409940994,1839,0.27025557368134856,28720,57.44574457445745,Stoke-on-Trent
E01029545,About Better Care (ABC) PCN,461,49995,0.00922092209220922,1583,0.2912192040429564,29181,58.36783678367837,Stoke-on-Trent
E01014241,About Better Care (ABC) PCN,457,49995,0.00914091409140914,1730,0.26416184971098267,29638,59.28192819281928,Stoke-on-Trent
E01029548,About Better Care (ABC) PCN,449,49995,0.00898089808980898,1467,0.3060668029993183,30087,60.180018001800185,Stoke-on-Trent
E01014245,About Better Care (ABC) PCN,426,49995,0.008520852085208521,1858,0.22927879440258342,30513,61.03210321032103,Stoke-on-Trent
E01014263,About Better Care (ABC) PCN,404,49995,0.00808080808080808,1982,0.20383451059535823,30917,61.84018401840184,Stoke-on-Trent
